reference;designation;designation_en;marque_compatible;categorie;categorie_code;sous_categorie;poids_grammes;page_catalogue;fournisseur_code;source
30DA012P00001;Treuil M100 3 phases 230/400;Gear unit M100 for capacity 50kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA012P00002;Treuil M100 3 phases 230/400;Gear unit M100 for capacity 50kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA012P00003;Treuil M200 3 phases 230/400 V -;Gear unit M200 for capacity 60kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA012P00004;Treuil M200 3 phases 230/400 V -;Gear unit M200 for capacity 60kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA012P00005;Treuil M200 3 phases 230/400;Gear unit M200 for capacity 100kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA012P00006;Treuil M200 3 phases 230/400;Gear unit M200 for capacity 100kg;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;012;;112;SODIMAS;catalogue_sodimas_2019
30DA052P00001;Support de frein treuil - Microlift;Brake support Microlift;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;202;113;SODIMAS;catalogue_sodimas_2019
30DA052P00002;Support de frein treuil - Microlift;Brake support Microlift;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;202;113;SODIMAS;catalogue_sodimas_2019
30DA052P00003;Disque frein + garniture treuil -;Disc brake with lining;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;175;113;SODIMAS;catalogue_sodimas_2019
30DA052P00004;Disque frein + garniture treuil -;Disc brake with lining;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;175;113;SODIMAS;catalogue_sodimas_2019
30DA052P00005;Bobine de frein 48 V - Microlift;Brake coil 48v;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;415;113;SODIMAS;catalogue_sodimas_2019
30DA052P00006;Bobine de frein 48 V - Microlift;Brake coil 48v;DALDOSS-MICROLIFT;Machinerie;MACHINERIE;052;415;113;SODIMAS;catalogue_sodimas_2019
30DI052P00001;Kit frein 2 bobines inclinées 48;BRAKE KIT 2 COILS FOR P56F FAER;DIVERS;Machinerie;MACHINERIE;052;;129;SODIMAS;catalogue_sodimas_2019
30DI052P00002;Kit frein 2 bobines inclinées 48;BRAKE KIT 2 COILS FOR P56F FAER;DIVERS;Machinerie;MACHINERIE;052;;129;SODIMAS;catalogue_sodimas_2019
30DI052P00003;Levier frein treuil Faer (fabrication;Brake lever-FAER (SINCE 1990).;DIVERS;Machinerie;MACHINERIE;052;150;129;SODIMAS;catalogue_sodimas_2019
30DI992P00001;Accouplement huco pour enco-;CLUTCH FOR ENCODER -GEAR;DIVERS;Machinerie;MACHINERIE;992;24;568;SODIMAS;catalogue_sodimas_2019
30DI992P00002;Accouplement huco pour enco-;CLUTCH FOR ENCODER -GEAR;DIVERS;Machinerie;MACHINERIE;992;24;568;SODIMAS;catalogue_sodimas_2019
30FR052P00001;Levier frein treuil Faer (fabrication;Brake lever-FAER (SINCE 1990).;FAER;Machinerie;MACHINERIE;052;150;129;SODIMAS;catalogue_sodimas_2019
30KO052P00001;Frein complet + câble 1,3 m pour;BRAKE for Ecodisc MX06;KONE;Machinerie;MACHINERIE;052;;163;SODIMAS;catalogue_sodimas_2019
30KO052P00002;Frein complet + câble 1,3 m pour;BRAKE for Ecodisc MX06;KONE;Machinerie;MACHINERIE;052;;163;SODIMAS;catalogue_sodimas_2019
30KO072P00001;Codeur Tamagawa TS5307N566;Codeur TAMAGAWA TS5307N566.;KONE;Machinerie;MACHINERIE;072;168;164;SODIMAS;catalogue_sodimas_2019
30KO072P00002;Codeur Tamagawa TS5307N566;Codeur TAMAGAWA TS5307N566.;KONE;Machinerie;MACHINERIE;072;168;164;SODIMAS;catalogue_sodimas_2019
30KO072P00003;Tachy RE.0444 L1-B 60 V 1000 t/;Tachy RE.0444 L1-B 60v.1000 t/mm Tachy RE.0444 N1-S 60 V 1000;KONE;Machinerie;MACHINERIE;072;;164;SODIMAS;catalogue_sodimas_2019
30KO072P00004;Tachy RE.0444 L1-B 60 V 1000 t/;Tachy RE.0444 L1-B 60v.1000 t/mm Tachy RE.0444 N1-S 60 V 1000;KONE;Machinerie;MACHINERIE;072;;164;SODIMAS;catalogue_sodimas_2019
30KO072P00005;KM950278G01;;KONE;Machinerie;MACHINERIE;072;720;164;SODIMAS;catalogue_sodimas_2019
30KO072P00006;KM950278G01;;KONE;Machinerie;MACHINERIE;072;720;164;SODIMAS;catalogue_sodimas_2019
30KO072P00007;Codeur pour GMX et variateur;CODER FOR GMX AND VARIATOR;KONE;Machinerie;MACHINERIE;072;750;164;SODIMAS;catalogue_sodimas_2019
30KO072P00008;Codeur pour GMX et variateur;CODER FOR GMX AND VARIATOR;KONE;Machinerie;MACHINERIE;072;750;164;SODIMAS;catalogue_sodimas_2019
