reference,designation,fournisseur_code,categorie_code,sous_categorie,marque_compatible,poids_grammes,page_catalogue,source,actif
30DA012P00001,Treuil M100 3 phases 230/400,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA012P00002,Treuil M100 3 phases 230/400,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA012P00003,Treuil M200 3 phases 230/400 V -,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA012P00004,Treuil M200 3 phases 230/400 V -,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA012P00005,Treuil M200 3 phases 230/400,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA012P00006,Treuil M200 3 phases 230/400,SODIMAS,MACHINERIE,012,DALDOSS-MICROLIFT,,112,catalogue_sodimas_2019,true
30DA052P00001,Support de frein treuil - Microlift,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,202,113,catalogue_sodimas_2019,true
30DA052P00002,Support de frein treuil - Microlift,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,202,113,catalogue_sodimas_2019,true
30DA052P00003,Disque frein + garniture treuil -,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,175,113,catalogue_sodimas_2019,true
30DA052P00004,Disque frein + garniture treuil -,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,175,113,catalogue_sodimas_2019,true
30DA052P00005,Bobine de frein 48 V - Microlift,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,415,113,catalogue_sodimas_2019,true
30DA052P00006,Bobine de frein 48 V - Microlift,SODIMAS,MACHINERIE,052,DALDOSS-MICROLIFT,415,113,catalogue_sodimas_2019,true
30DI052P00001,Kit frein 2 bobines inclinées 48,SODIMAS,MACHINERIE,052,DIVERS,,129,catalogue_sodimas_2019,true
30DI052P00002,Kit frein 2 bobines inclinées 48,SODIMAS,MACHINERIE,052,DIVERS,,129,catalogue_sodimas_2019,true
30DI052P00003,Levier frein treuil Faer (fabrication,SODIMAS,MACHINERIE,052,DIVERS,150,129,catalogue_sodimas_2019,true
30DI992P00001,Accouplement huco pour enco-,SODIMAS,MACHINERIE,992,DIVERS,24,568,catalogue_sodimas_2019,true
30DI992P00002,Accouplement huco pour enco-,SODIMAS,MACHINERIE,992,DIVERS,24,568,catalogue_sodimas_2019,true
30FR052P00001,Levier frein treuil Faer (fabrication,SODIMAS,MACHINERIE,052,FAER,150,129,catalogue_sodimas_2019,true
30KO052P00001,"Frein complet + câble 1,3 m pour",SODIMAS,MACHINERIE,052,KONE,,163,catalogue_sodimas_2019,true
30KO052P00002,"Frein complet + câble 1,3 m pour",SODIMAS,MACHINERIE,052,KONE,,163,catalogue_sodimas_2019,true
30KO072P00001,Codeur Tamagawa TS5307N566,SODIMAS,MACHINERIE,072,KONE,168,164,catalogue_sodimas_2019,true
30KO072P00002,Codeur Tamagawa TS5307N566,SODIMAS,MACHINERIE,072,KONE,168,164,catalogue_sodimas_2019,true
30KO072P00003,Tachy RE.0444 L1-B 60 V 1000 t/,SODIMAS,MACHINERIE,072,KONE,,164,catalogue_sodimas_2019,true
30KO072P00004,Tachy RE.0444 L1-B 60 V 1000 t/,SODIMAS,MACHINERIE,072,KONE,,164,catalogue_sodimas_2019,true
30KO072P00005,KM950278G01,SODIMAS,MACHINERIE,072,KONE,720,164,catalogue_sodimas_2019,true
30KO072P00006,KM950278G01,SODIMAS,MACHINERIE,072,KONE,720,164,catalogue_sodimas_2019,true
30KO072P00007,Codeur pour GMX et variateur,SODIMAS,MACHINERIE,072,KONE,750,164,catalogue_sodimas_2019,true
30KO072P00008,Codeur pour GMX et variateur,SODIMAS,MACHINERIE,072,KONE,750,164,catalogue_sodimas_2019,true
30OT022P00001,Poulie 10 ATL (MCO9650) Ø 330 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00002,Poulie 10 ATL (MCO9650) Ø 330 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00003,Poulie 10 ATL (MCO9650) Ø 420 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00004,Poulie 10 ATL (MCO9650) Ø 420 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00005,Poulie 10 ATL (MCO9650) Ø 420 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00006,Poulie 10 ATL (MCO9650) Ø 420 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00007,Poulie 10 ATL (MCO9650) Ø 510 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00008,Poulie 10 ATL (MCO9650) Ø 510 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00009,Poulie 10 ATL (MCO9650) Ø 510 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00010,Poulie 10 ATL (MCO9650) Ø 510 -,SODIMAS,MACHINERIE,022,OTIS,,287,catalogue_sodimas_2019,true
30OT022P00011,Poulie 10 ATL (MCO9650) Ø 560 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00012,Poulie 10 ATL (MCO9650) Ø 560 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00013,Poulie 10 ATL (MCO9650) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00014,Poulie 10 ATL (MCO9650) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00015,Poulie 15 ATL (MCO9710) Ø 520 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00016,Poulie 15 ATL (MCO9710) Ø 520 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00017,Poulie 15 ATL (MCO9710) Ø 590 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00018,Poulie 15 ATL (MCO9710) Ø 590 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00019,Poulie 15 ATL (MCO9710) Ø 590 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00020,Poulie 15 ATL (MCO9710) Ø 590 -,SODIMAS,MACHINERIE,022,OTIS,,288,catalogue_sodimas_2019,true
30OT022P00021,Poulie 15 ATL (MCO9710) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00022,Poulie 15 ATL (MCO9710) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00023,Poulie 15 ATL (MCO9710) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00024,Poulie 15 ATL (MCO9710) Ø 610 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00025,Poulie 15 ATL (MCO9710) Ø 710 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00026,Poulie 15 ATL (MCO9710) Ø 710 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00027,Poulie 15 ATL (MCO9710) Ø 710 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00028,Poulie 15 ATL (MCO9710) Ø 710 -,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00029,Poulie 11 VTR (9645H)/140 VAT,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00030,Poulie 11 VTR (9645H)/140 VAT,SODIMAS,MACHINERIE,022,OTIS,,289,catalogue_sodimas_2019,true
30OT022P00031,Poulie 11 VTR (9645H)/140 VAT,SODIMAS,MACHINERIE,022,OTIS,,290,catalogue_sodimas_2019,true
30OT022P00032,Poulie 11 VTR (9645H)/140 VAT,SODIMAS,MACHINERIE,022,OTIS,,290,catalogue_sodimas_2019,true
30OT022P00033,Poulie 11 VTR (9645H)/140 VAT,SODIMAS,MACHINERIE,022,OTIS,,290,catalogue_sodimas_2019,true
